Feature,Mean_SHAP_Value,RF_Importance
Total Time Spent on Website,0.1368330241456113,0.33424514630697033
Last Notable Activity_SMS Sent,0.057996511469861366,0.05359197879394324
What is your current occupation_Unknown,0.057290645235709745,0.047866534412418754
Asymmetrique Activity Score,0.056209674450703885,0.0848830247709388
Last Activity_SMS Sent,0.04108360895571441,0.036254736686837374
What is your current occupation_Working Professional,0.034807079161123265,0.04387720543395255
Lead Origin_Lead Add Form,0.032378169033607775,0.04235261894351683
Last Notable Activity_Modified,0.027547158890790496,0.020412007504730115
TotalVisits,0.025753372277855527,0.08743883976180715
Asymmetrique Profile Score,0.02395405486881762,0.06059980827552678
Last Activity_Olark Chat Conversation,0.01593742683655253,0.011748073679473892
Lead Origin_Landing Page Submission,0.015715722797712633,0.01474138105480154
Lead Source_Reference,0.015675799614103335,0.024488174847535082
What is your current occupation_Unemployed,0.01413412420423294,0.019781238819712287
Lead Source_Direct Traffic,0.011947752302168872,0.012699461006819325
Do Not Email,0.011130071598138365,0.011052954291585714
Last Activity_Email Opened,0.009787135793379751,0.009276095789854687
A free copy of Mastering The Interview,0.008557846285951062,0.01414271750323575
Lead Source_Google,0.008050568350008313,0.013161880010501432
Last Notable Activity_Email Opened,0.006888011177638222,0.006188148751800623
Lead Source_Olark Chat,0.005862585604843382,0.008068397810051649
Lead Source_Welingak Website,0.0058469318623349704,0.007702716025543979
Last Activity_Converted to Lead,0.005417186220482285,0.005345231026165408
Last Activity_Page Visited on Website,0.004566240890728491,0.004778293841541515
Last Activity_Email Bounced,0.004189647614380297,0.0038229157565101363
Last Activity_Email Link Clicked,0.001315175068911254,0.002776272641921415
Last Notable Activity_Olark Chat Conversation,0.0012512970786490753,0.0011889966493669997
Last Notable Activity_Page Visited on Website,0.0009038005589292436,0.001920830807127626
Last Notable Activity_Email Link Clicked,0.0008190943602099482,0.0014523129305145013
Last Activity_Unknown,0.0007269285970881462,0.0013798639088280407
Last Notable Activity_Unreachable,0.0006996605891052557,0.001470707965330346
What is your current occupation_Other,0.0006225841278304899,0.00095860926838202
Last Activity_Had a Phone Conversation,0.0006152917878431981,0.0015724049881149706
Last Activity_Form Submitted on Website,0.0005257269238980095,0.0017409273615927778
Lead Source_Referral Sites,0.0005233623875166137,0.0019003623033371593
Last Activity_Unsubscribed,0.00047714610076598585,0.0008774401907685459
Lead Source_Unknown,0.0004020286223966456,0.0011089085478092752
Last Notable Activity_Had a Phone Conversation,0.0003346185228254553,0.0006753890381398777
Lead Source_Facebook,0.0003128230387291612,0.0006928731644437475
Lead Origin_Lead Import,0.00026621681372102096,0.00040179927149469407
What is your current occupation_Housewife,0.00024580462620076135,0.0006539368569405869
Last Notable Activity_Email Bounced,0.00022958541818090156,0.0007087830001124274
